,locution_conclusion,locution_premise,conclusion,premise,connection,nodeset_id,id_conclusion,id_premise,id_connection,argument_linked,speaker_conclusion,speaker_premise,speaker
144,Melanie : Why are you being so selective about your context?,"Melanie : It's only for you colonialism that is on trial here, not the behaviour of the insurgents at the time",Esther is being selective about her context,"It's only for Esther colonialism that is on trial here, not the behaviour of the insurgents at the time",Default Inference,nodeset6075,112245,112275,112280,False,Melanie,Melanie,Melanie
145,"Melanie : It's only for you colonialism that is on trial here, not the behaviour of the insurgents at the time",Esther :  that's not correct,"It's only for Esther colonialism that is on trial here, not the behaviour of the insurgents at the time",that's not correct,Default Conflict,nodeset6075,112275,112252,112287,False,Melanie,Esther,Melanie
146,Esther : We're looking at this case in a multiple ways,Esther : It's a specific case,We're looking at this case in a multiple ways,It's a specific case,Default Inference,nodeset6075,26093,26094,112297,False,Esther,Esther,Esther
147,Esther : but I was also giving wider views around the importance of this case,Esther : We're looking at this case in a multiple ways,Esther was also giving wider views around the importance of this case,We're looking at this case in a multiple ways,Default Inference,nodeset6075,112289,26093,112300,False,Esther,Esther,Esther
148,Esther : but I was also giving wider views around the importance of this case,Esther : And we have to look at it in that way,Esther was also giving wider views around the importance of this case,we have to look at it in that way,Default Rephrase,nodeset6075,112289,26106,112303,False,Esther,Esther,Esther
149,Esther : That's not what I stated,"Esther : So the wider context I actually go back to what I said in the beginning, it is the colonial dispossession",That's not what Esther stated,the wider context is the colonial dispossession,Default Inference,nodeset6075,112256,112305,112310,False,Esther,Esther,Esther
150,Esther :  there were insurgents as you would call them,"Esther : So the wider context I actually go back to what I said in the beginning, it is the colonial dispossession",there were insurgents as Melanie would call them,the wider context is the colonial dispossession,Default Inference,nodeset6075,112315,112305,112322,False,Esther,Esther,Esther
151,Esther : so yes,"Esther : So the wider context I actually go back to what I said in the beginning, it is the colonial dispossession",there were insurgents as Melanie would call them,the wider context is the colonial dispossession,Default Inference,nodeset6075,112315,112305,112322,False,Esther,Esther,Esther
152,Esther :  there were insurgents as you would call them,Esther : we would say freedom fighters,there were insurgents as Melanie would call them,we would say freedom fighters,Default Rephrase,nodeset6075,112315,26109,112328,False,Esther,Esther,Esther
153,Esther : so yes,Esther : we would say freedom fighters,there were insurgents as Melanie would call them,we would say freedom fighters,Default Rephrase,nodeset6075,112315,26109,112328,False,Esther,Esther,Esther
154,Esther : and they did what they had to do in order to maintain a liberation struggle,"Esther : So the wider context I actually go back to what I said in the beginning, it is the colonial dispossession",they did what they had to do in order to maintain a liberation struggle,the wider context is the colonial dispossession,Default Inference,nodeset6075,112330,112305,112335,False,Esther,Esther,Esther
155,MB : What do you think is going on here?,"MB : If there is an element, if you like, of retrospective moral judgments, are there problems with that?",What is going on here is xxx,"If there is an element of retrospective moral judgments, there are no problem with that",Default Rephrase,nodeset6076,112342,112343,112347,False,MB,MB,MB
156,LA : I always have a problem of judging the past by our values,LA : It seems to me a mixture of arrogance and absurdity,There is a problem with judging the past by our values,It seems to be a mixture of arrogance and absurdity,RA,nodeset6076,26144,26145,112351,False,LA,LA,LA
157,"MB : If there is an element, if you like, of retrospective moral judgments, are there problems with that?",LA : I always have a problem of judging the past by our values,"If there is an element of retrospective moral judgments, there are no problem with that",There is a problem with judging the past by our values,Default Conflict,nodeset6076,112343,26144,112355,False,MB,LA,LA
158,LA : I always have a problem of judging the past by our values,MT : I don't see really what the problem is here.,There is a problem with judging the past by our values,There is no problem  here.,CA,nodeset6076,26144,26154,112360,False,LA,MT,MT
159,MT : the way they suffered was a crime,MT : in almost any jurisdiction in the world it would be seen as a crime,the way they suffered was a crime,in almost any jurisdiction in the world it would be seen as a crime,RA,nodeset6076,26159,26160,112366,False,MT,MT,MT
160,MT : I don't see really what the problem is here.,MT : There are three people who it seems very likely suffered,There is no problem  here.,There are three people who it seems very likely suffered,Default Inference,nodeset6076,26154,26157,112374,True,MT,MT,MT
161,MT : There are three people who it seems very likely suffered,MT : they suffered in the context of imprisonment possibly,There are three people who it seems very likely suffered,they suffered in the context of imprisonment possibly,Default Inference,nodeset6076,26157,26158,112377,False,MT,MT,MT
162,MT : I don't see really what the problem is here.,MT : the way they suffered was a crime,There is no problem  here.,the way they suffered was a crime,Default Inference,nodeset6076,26154,26159,112374,True,MT,MT,MT
163,MT : I don't see really what the problem is here.,MT : they have the opportunity now to try to seek justice,There is no problem  here.,they have the opportunity now to try to seek justice,Default Inference,nodeset6076,26154,26161,112374,True,MT,MT,MT
164,MT : I don't see really what the problem is here.,MT : the closest they can get to the people who actually committed this is the British state,There is no problem  here.,the closest they can get to the people who actually committed this is the British state,Default Inference,nodeset6076,26154,26162,112374,True,MT,MT,MT
165,MT : I don't see really what the problem is here.,MT : and they're pursuing their case,There is no problem  here.,they're pursuing their case,Default Inference,nodeset6076,26154,26163,112374,True,MT,MT,MT
166,MT : What's wrong with this?,MT : they have the opportunity now to try to seek justice,there's nothing wrong with this,they have the opportunity now to try to seek justice,Default Inference,nodeset6076,112358,26161,112380,True,MT,MT,MT
167,MT : What's wrong with this?,MT : and they're pursuing their case,there's nothing wrong with this,they're pursuing their case,Default Inference,nodeset6076,112358,26163,112380,True,MT,MT,MT
168,LA : and they are proceeding with it,LA : The judiciary have ruled they have the right to make this case,they are proceeding with it,The judiciary have ruled they have the right to make this case,Default Inference,nodeset6093,26237,26232,112478,False,LA,LA,LA
169,"MT : Well, in terms of the case of these individuals, do you accept that they have a perfect right to pursue the claim that they are making and it is reasonable for the British state, even though today's politicians weren't implicated in this, for the British state to be answerable of the actions of the British state in the past, in this specific case, we will turn in a moment to the wider question of Empire, but in this specific case","LA : There is another legal principle which you have touched on of how much, do we have a legal responsibility for the actions of the past","in terms of the case of these individuals they have a perfect right to pursue the claim that they are making and it is reasonable for the British state, even though today's politicians weren't implicated in this, for the British state to be answerable of the actions of the British state in the past, in this specific case",we have xxx much legal responsibility for the actions of the past,Default Rephrase,nodeset6093,112471,112480,112485,False,MT,LA,LA
170,"LA : There is another legal principle which you have touched on of how much, do we have a legal responsibility for the actions of the past","LA :  I mean, does Mr Cameron have to answer for the decisions of, say, Lord Palmerston?",we have xxx much legal responsibility for the actions of the past,"Mr Cameron does not have to answer for the decisions of, say, Lord Palmerston",Default Rephrase,nodeset6093,112480,112490,112492,False,LA,LA,LA
171,"LA :  I mean, does Mr Cameron have to answer for the decisions of, say, Lord Palmerston?","MT : Isn't it reasonable to argue that given what they went through, as the closest they can get to the people who perpetrated this is the British state, indeed the state benefitted from colonialism in a variety of ways, that it's reasonable that they should seek recompense from the British state?","Mr Cameron does not have to answer for the decisions of, say, Lord Palmerston","it is reasonable to argue that given what they went through, as the closest they can get to the people who perpetrated this is the British state, indeed the state benefitted from colonialism in a variety of ways, it's reasonable that they should seek recompense from the British state",Default Conflict,nodeset6093,112490,112497,112499,False,LA,MT,MT
172,"MT : Isn't it reasonable to argue that given what they went through, as the closest they can get to the people who perpetrated this is the British state, indeed the state benefitted from colonialism in a variety of ways, that it's reasonable that they should seek recompense from the British state?",MT : Otherwise they have nowhere to go,"it is reasonable to argue that given what they went through, as the closest they can get to the people who perpetrated this is the British state, indeed the state benefitted from colonialism in a variety of ways, it's reasonable that they should seek recompense from the British state",they have nowhere to go,Default Inference,nodeset6093,112497,26260,112502,True,MT,MT,MT
173,"MT : Isn't it reasonable to argue that given what they went through, as the closest they can get to the people who perpetrated this is the British state, indeed the state benefitted from colonialism in a variety of ways, that it's reasonable that they should seek recompense from the British state?","MT : Otherwise we're simply saying, well, the people who did this to you have gone","it is reasonable to argue that given what they went through, as the closest they can get to the people who perpetrated this is the British state, indeed the state benefitted from colonialism in a variety of ways, it's reasonable that they should seek recompense from the British state","we're simply saying, well, the people who did this to you have gone",Default Inference,nodeset6093,112497,112506,112502,True,MT,MT,MT
174,"MT : Isn't it reasonable to argue that given what they went through, as the closest they can get to the people who perpetrated this is the British state, indeed the state benefitted from colonialism in a variety of ways, that it's reasonable that they should seek recompense from the British state?",MT : the injustice is somehow over.,"it is reasonable to argue that given what they went through, as the closest they can get to the people who perpetrated this is the British state, indeed the state benefitted from colonialism in a variety of ways, it's reasonable that they should seek recompense from the British state",the injustice is somehow over.,Default Inference,nodeset6093,112497,26270,112502,True,MT,MT,MT
175,ES : But we cannot take away the fact that these were people who were simply fighting to reclaim their lost lands,ES : and it was a freedom struggle,we cannot take away the fact that these were people who were simply fighting to reclaim their lost lands,it was a freedom struggle,RA,nodeset6094,25814,25527,112511,False,ES,ES,ES
176,ES : But we cannot take away the fact that these were people who were simply fighting to reclaim their lost lands,AM : Where does that take you?,we cannot take away the fact that these were people who were simply fighting to reclaim their lost lands,that takes ES xxx,CA,nodeset6094,25814,112513,112519,False,ES,AM,ES
177,ES : I'm not saying that,ES : But we cannot take away the fact that these were people who were simply fighting to reclaim their lost lands,I'm not saying that,we cannot take away the fact that these were people who were simply fighting to reclaim their lost lands,Default Rephrase,nodeset6094,25811,25814,112533,False,ES,ES,ES
178,AM : Where does that take you?,"ES : In terms of moral responsibility then it, is pretty much anything allowed to them because it was a struggle of liberation",that takes ES xxx,"In terms of moral responsibility then it, is pretty much anything allowed to them because it was a struggle of liberation",Default Rephrase,nodeset6094,112513,112535,112543,False,AM,ES,ES
179,"ES : In terms of moral responsibility then it, is pretty much anything allowed to them because it was a struggle of liberation",ES : it was a struggle of liberation,"In terms of moral responsibility then it, is pretty much anything allowed to them because it was a struggle of liberation",it was a struggle of liberation,Default Rephrase,nodeset6094,112535,25831,112550,False,ES,ES,ES
180,ES : I would refute the notion that these were terrorists,ES : it was a struggle of liberation,these were not terrorists,it was a struggle of liberation,Default Inference,nodeset6094,112516,25831,112553,False,ES,ES,ES
181,ES : I would refute the notion that these were terrorists,ES : I think that was a label that was given to them,these were not terrorists,that was a label that was given to them,Default Inference,nodeset6094,112516,25833,112559,True,ES,ES,ES
182,ES : I would refute the notion that these were terrorists,ES : and it was a label that was very loaded,these were not terrorists,it was a label that was very loaded,Default Inference,nodeset6094,112516,25834,112559,True,ES,ES,ES
183,ES : and it was a label that was very loaded,ES : and of course when you classify people as terrorists then you are seeking to dehumanise them,it was a label that was very loaded,when you classify people as terrorists then you are seeking to dehumanise them,Default Inference,nodeset6094,25834,25835,112568,False,ES,ES,ES
184,MP : but you have just muddled up civil and criminal cases,"MP :  I mean, there's no statute of limitations for murder",ES has just muddled up civil and criminal cases,there's no statute of limitations for murder,RA,nodeset6095,112570,25723,112575,False,MP,MP,MP
185,ES : They do bear responsibility.,ES : Because those liabilities actually transferred back to the British Government,They do bear responsibility.,those liabilities actually transferred back to the British Government,RA,nodeset6095,7514,25761,112586,False,ES,ES,ES
186,ES : Because those liabilities actually transferred back to the British Government,ES : certainly that would not be the British Government's view,those liabilities actually transferred back to the British Government,that would not be the British Government's view,Default Rephrase,nodeset6095,25761,25998,112589,False,ES,ES,ES
187,ES : Because those liabilities actually transferred back to the British Government,ES : but that would be the view of the claimants and their representatives. And also the current government of Kenya.,those liabilities actually transferred back to the British Government,that would be the view of the claimants and their representatives. And also the current government of Kenya.,RA,nodeset6095,25761,25771,112592,False,ES,ES,ES
188,MP : Isn't that a source of injustice?,ES : Definitely not,that is a source of injustice,that isn't a source of injustice,CA,nodeset6095,25753,27848,112597,False,MP,ES,ES
189,MP : and no one would deny that they were treated in an appalling way,MP : but you have just muddled up civil and criminal cases,they were treated in an appalling way,ES has just muddled up civil and criminal cases,Default Rephrase,nodeset6095,25710,112570,112603,False,MP,MP,MP
190,"MP :  I mean, there's no statute of limitations for murder","MP : and one can certainly say - this is my point, if there are specific perpetrators, if you have a tyrant, if you have a group of military officers who are accused of committing a war crime, then for sure, there should be no statute of limitations in prosecuting them.",there's no statute of limitations for murder,"if there are specific perpetrators, if you have a tyrant, if you have a group of military officers who are accused of committing a war crime, then for sure, there should be no statute of limitations in prosecuting them.",Default Rephrase,nodeset6095,25723,25726,112606,False,MP,MP,MP
191,"MP :  I mean, there's no statute of limitations for murder",MP : You have a specific perpetrator,there's no statute of limitations for murder,You have a specific perpetrator,Default Inference,nodeset6095,25723,25734,112609,False,MP,MP,MP
192,MP : but you have just muddled up civil and criminal cases,MP : But here you don't have specific perpetrators.,ES has just muddled up civil and criminal cases,here you don't have specific perpetrators.,Default Inference,nodeset6095,112570,25995,112612,False,MP,MP,MP
193,MP : but you have just muddled up civil and criminal cases,MP : What's happening in this case is not the prosecution of a crime,ES has just muddled up civil and criminal cases,What's happening in this case is not the prosecution of a crime,Default Inference,nodeset6095,112570,25996,112614,False,MP,MP,MP
194,MP : What's happening in this case is not the prosecution of a crime,"MP :  it is a claim for compensation against the present government, which had no responsibility for what happened",What's happening in this case is not the prosecution of a crime,"it is a claim for compensation against the present government, which had no responsibility for what happened",Default Inference,nodeset6095,25996,27889,112620,False,MP,MP,MP
195,MP : Isn't that a source of injustice?,"MP :  it is a claim for compensation against the present government, which had no responsibility for what happened",that is a source of injustice,"it is a claim for compensation against the present government, which had no responsibility for what happened",Default Inference,nodeset6095,25753,27889,112623,False,MP,MP,MP
196,ES : Definitely not,ES : They do bear responsibility.,that isn't a source of injustice,They do bear responsibility.,Default Inference,nodeset6095,27848,7514,112626,False,ES,ES,ES
197,"MP : So when black people say, for example, Jews control the banks, that's not prejudice?",JA : but it's not racism,"when black people say, for example, Jews control the banks, that's prejudice",it's not racism,RA,nodeset6096,112630,28760,112635,False,MP,JA,JA
198,JA : but it's not racism,MP : It's not racism?,it's not racism,It's racism,CA,nodeset6096,28760,112636,112638,False,JA,MP,JA
199,JA : people who are powerless cannot be prejudiced,"MP : So when black people say, for example, Jews control the banks, that's not prejudice?",people who are powerless cannot be prejudiced,"when black people say, for example, Jews control the banks, that's prejudice",Default Conflict,nodeset6096,28746,112630,112653,False,JA,MP,JA
200,"MP : So when black people say, for example, Jews control the banks, that's not prejudice?",JA : That's racially offensive,"when black people say, for example, Jews control the banks, that's prejudice",That's racially offensive,Default Conflict,nodeset6096,112630,28757,112656,True,MP,JA,JA
201,"MP : So when black people say, for example, Jews control the banks, that's not prejudice?",JA : but it's not racism,"when black people say, for example, Jews control the banks, that's prejudice",it's not racism,Default Conflict,nodeset6096,112630,28760,112656,True,MP,JA,JA
202,MP : It's not racism?,JA : Because you can be convicted of being racially offensive without being a racist,It's racism,you can be convicted of being racially offensive without being a racist,Default Conflict,nodeset6096,112636,28772,112659,False,MP,JA,JA
203,JA : Margaret Thatcher's daughter made some inappropriate comments,JA : Because you can be convicted of being racially offensive without being a racist,Margaret Thatcher's daughter made some inappropriate comments,you can be convicted of being racially offensive without being a racist,Default Inference,nodeset6096,28778,28772,112662,False,JA,JA,JA
204,JA : I have heard lots of judgments of people being found guilty of uttering racially offensive remarks without themselves being what I would call a card carrying racist,JA : Because you can be convicted of being racially offensive without being a racist,JA has heard lots of judgments of people being found guilty of uttering racially offensive remarks without themselves being what JA would call a card carrying racist,you can be convicted of being racially offensive without being a racist,Default Inference,nodeset6096,28781,28772,112665,False,JA,JA,JA
205,AM :  Do you make that parallel?,"JA : in order to finance the trade and the extraction of resource in African countries, infrastructure was built and there was a degree of benevolence",JA makes that parallel,"in order to finance the trade and the extraction of resource in African countries, infrastructure was built and there was a degree of benevolence",RA,nodeset6097,28854,28861,112676,True,AM,JA,JA
206,AM :  Do you make that parallel?,"JA : overall, if you ask people who have been subject to colonialism, it is an experience that leaves them financially much poorer, psychologically degraded in terms of their humanity",JA makes that parallel,"overall, if you ask people who have been subject to colonialism, it is an experience that leaves them financially much poorer, psychologically degraded in terms of their humanity",RA,nodeset6097,28854,28862,112676,True,AM,JA,JA
207,JA : the Jewish community was shipped to Auschwitz,JA : The trains ran on crime,the Jewish community was shipped to Auschwitz,The trains ran on crime,Default Inference,nodeset6097,28853,28852,112677,False,JA,JA,JA
208,JA : the Jewish community was shipped to Auschwitz,AM :  Do you make that parallel?,the Jewish community was shipped to Auschwitz,JA makes that parallel,Default Rephrase,nodeset6097,28853,28854,112679,False,JA,AM,AM
209,JA : I want a moment that would produce more inclusivity,AM : How could it possibly follow from this very deleterious account of colonialism that you have just given?,JA wants a moment that would produce more inclusivity,it could not possibly follow from this very deleterious account of colonialism that JA has just given,CA,nodeset6098,112682,112684,112694,False,JA,AM,AM
210,AM : How could it possibly follow from this very deleterious account of colonialism that you have just given?,AM : One just seems to take you into a way of feeling worse about everything,it could not possibly follow from this very deleterious account of colonialism that JA has just given,One just seems to take you into a way of feeling worse about everything,Default Inference,nodeset6098,112684,28903,112702,False,AM,AM,AM
211,AM : How is that going to make young black Britons feel better?,AM : One just seems to take you into a way of feeling worse about everything,that is not going to make young black Britons feel better,One just seems to take you into a way of feeling worse about everything,Default Inference,nodeset6098,112685,28903,112705,False,AM,AM,AM
212,AM : How is that going to make young black Britons feel better?,"JA : We are here on Mandela's birthday and his leadership in relation to South Africa was one in which he sought to explore these issues, reconcile them, bring them to account, to apologise, to effect reparation where necessary, to acknowledge the crime",that is not going to make young black Britons feel better,"We are here on Mandela's birthday and his leadership in relation to South Africa was one in which he sought to explore these issues, reconcile them, bring them to account, to apologise, to effect reparation where necessary, to acknowledge the crime",Default Conflict,nodeset6098,112685,28905,112708,False,AM,JA,JA
213,"JA :  You see, the legacy of colonialism for white people is white privilege in the modern day setting.","JA : We are here on Mandela's birthday and his leadership in relation to South Africa was one in which he sought to explore these issues, reconcile them, bring them to account, to apologise, to effect reparation where necessary, to acknowledge the crime",the legacy of colonialism for white people is white privilege in the modern day setting.,"We are here on Mandela's birthday and his leadership in relation to South Africa was one in which he sought to explore these issues, reconcile them, bring them to account, to apologise, to effect reparation where necessary, to acknowledge the crime",Default Inference,nodeset6098,112686,28905,112711,True,JA,JA,JA
214,"JA :  You see, the legacy of colonialism for white people is white privilege in the modern day setting.","JA : The legacy of colonialism for black people is, you know, poverty",the legacy of colonialism for white people is white privilege in the modern day setting.,"The legacy of colonialism for black people is, you know, poverty",Default Inference,nodeset6098,112686,28907,112711,True,JA,JA,JA
215,AM : that probably isn't enough for you,JA : I think they are due reparation,that probably isn't enough for JA,they are due reparation,RA,nodeset6099,112714,112715,112729,False,AM,JA,JA
216,"AM : In a sentence, do you think this particular court case might provide this Mdeba moment",LA : I don't think so,"In a sentence, JA thinks / does not think this particular court case might provide this Mdeba moment",JA does not think this particular court case might provide this Mdeba moment,Default Rephrase,nodeset6099,112717,28978,112735,False,AM,LA,LA
217,AM : What can we do to make you happy?,"JA : Acknowledgment, in a Christian sense",we can do xxx to make JA happy,"Acknowledgment, in a Christian sense",Default Rephrase,nodeset6099,112713,28941,112740,False,AM,JA,JA
218,"JA : Acknowledgment, in a Christian sense","AM : Hang on, Enoch Powell acknowledged the maltreatment of the Mau Mau in a stirring speech","Acknowledgment, in a Christian sense",Enoch Powell acknowledged the maltreatment of the Mau Mau in a stirring speech,Default Conflict,nodeset6099,28941,28942,112742,False,JA,AM,AM
219,AM : that probably isn't enough for you,"JA : Acknowledgment, in a Christian sense",that probably isn't enough for JA,"JA : Acknowledgment, in a Christian sense",Default Inference,nodeset6099,112714,28953,112746,False,AM,JA,JA
220,JA : I think they are due reparation,"JA : Thousands were made landless, homeless and reduced to absolute poverty",they are due reparation,"Thousands were made landless, homeless and reduced to absolute poverty",Default Inference,nodeset6099,112715,112751,112753,True,JA,JA,JA
221,JA : I think they are due reparation,JA : and generations of families have not been able to recover from that,they are due reparation,generations of families have not been able to recover from that,Default Inference,nodeset6099,112715,112758,112753,True,JA,JA,JA
222,JA : acknowledgment and reparation for that is the minimum moral requisite position that is required from the United Kingdom,"JA : Thousands were made landless, homeless and reduced to absolute poverty",acknowledgment and reparation for that is the minimum moral requisite position that is required from the United Kingdom,"Thousands were made landless, homeless and reduced to absolute poverty",Default Inference,nodeset6099,28946,112751,112760,True,JA,JA,JA
223,JA : acknowledgment and reparation for that is the minimum moral requisite position that is required from the United Kingdom,JA : and generations of families have not been able to recover from that,acknowledgment and reparation for that is the minimum moral requisite position that is required from the United Kingdom,generations of families have not been able to recover from that,Default Inference,nodeset6099,28946,112758,112760,True,JA,JA,JA
224,JA : And if Britain thinks that it can move on to an inclusive citizenship without addressing these historical relics of colonialism that continue to plague contemporary debates about citizenship then frankly it's fooling itself,JA : acknowledgment and reparation for that is the minimum moral requisite position that is required from the United Kingdom,if Britain thinks that it can move on to an inclusive citizenship without addressing these historical relics of colonialism that continue to plague contemporary debates about citizenship then frankly it's fooling itself,acknowledgment and reparation for that is the minimum moral requisite position that is required from the United Kingdom,Default Inference,nodeset6099,112716,28946,112763,False,JA,JA,JA
225,LA : I don't think so,LA :  I think it will be an important opportunity for the individuals to make their case,LA does not think this particular court case might provide this Mdeba moment,it will be an important opportunity for the individuals to make their case,Default Inference,nodeset6099,28978,112718,112765,True,LA,LA,LA
226,LA : I don't think so,LA : I don't see it resulting in the broader moment,LA does not think this particular court case might provide this Mdeba moment,it will not result in the broader moment,Default Inference,nodeset6099,28978,112719,112765,True,LA,LA,LA
227,AM : it is a very partial view,AM : and it doesn't really answer why there was such outrage about it,it is a very partial view,it doesn't really answer why there was such outrage about it,Default Inference,nodeset6100,29827,29830,112780,False,AM,AM,AM
228,AM : and it doesn't really answer why there was such outrage about it,"AM : if it's such an exploitative thing, why was there outrage?",it doesn't really answer why there was such outrage about it,"if it's such an exploitative thing, there should not be outrage",Default Inference,nodeset6100,29830,112769,112783,False,AM,AM,AM
229,AM : So it is a good point Clifford makes,AM : it speaks well for the case that is being brought at the moment,it is a good point Clifford makes,it speaks well for the case that is being brought at the moment,Default Inference,nodeset6100,112785,29839,112790,True,AM,AM,AM
230,AM : So it is a good point Clifford makes,AM : it does not speak so well for broadening it out into a reckoning with everything else,it is a good point Clifford makes,it does not speak so well for broadening it out into a reckoning with everything else,Default Inference,nodeset6100,112785,29842,112790,True,AM,AM,AM
231,"MB : How much sympathy generally around the table was there for Lee Jasper's view that some form of Mdeba moment, as he put it, reconciliation or acknowledgment of the sins of the past is something that we desperately require to bring about an inclusive multi-racial community?",CL : I personally as an English person feel ashamed about the way the British behaved in these circumstances in Africa at that time.,"there was xxx much sympathy generally around the table for Lee Jasper's view that some form of Mdeba moment, as he put it, reconciliation or acknowledgment of the sins of the past is something that we desperately require to bring about an inclusive multi-racial community",CL personally as an English person feelS ashamed about the way the British behaved in these circumstances in Africa at that time,Default Rephrase,nodeset6100,112773,29853,112794,False,MB,CL,CL
232,CL : And I would feel better if the people who had suffered that injustice were compensated,CL : I personally as an English person feel ashamed about the way the British behaved in these circumstances in Africa at that time.,CL would feel better if the people who had suffered that injustice were compensated,CL personally as an English person feelS ashamed about the way the British behaved in these circumstances in Africa at that time,Default Inference,nodeset6100,29856,29853,112797,False,CL,CL,CL
233,CL : And I would feel better if the people who had suffered that injustice were compensated,"CL : and if it's an emotional thing to do with blame and guilt, if you like, me I personally feel dishonoured by what was done in my name",CL would feel better if the people who had suffered that injustice were compensated,"if it's an emotional thing to do with blame and guilt, CL personally feels dishonoured by what was done in his name",Default Inference,nodeset6100,29856,112777,112800,False,CL,CL,CL
234,MT : don't you think we are quite hung up about this,AM : I don't think I am in the same way,we are quite hung up about this,AM is not in the same way,CA,nodeset6101,29910,112803,112806,False,MT,AM,MT
235,"MT : Don't you think there's a streak that says, it was a pretty balanced account, there's nothing wrong with colonialism.",AM : I don't think people do think that,"there's a streak that says, it was a pretty balanced account, there's nothing wrong with colonialism",people do not think that,CA,nodeset6101,29919,112809,112813,False,MT,AM,MT
236,"MP : For decades, our children have been taught nothing other than the Empire was uniquely dreadful","MT : I didn't learn that in school, 40 years ago","For decades, our children have been taught nothing other than the Empire was uniquely dreadful","MT didn't learn that in school, 40 years ago",CA,nodeset6101,29935,29941,112819,False,MP,MT,MT
237,"MT : I didn't learn that in school, 40 years ago",MT : I was told it was generally speaking a good thing,"MT didn't learn that in school, 40 years ago",MT was told it was generally speaking a good thing,RA,nodeset6101,29941,29947,112823,False,MT,MT,MT
238,AM : I don't think people do think that,MP : That's a caricature,people do not think that,That's a caricature,Default Inference,nodeset6101,112809,29929,112832,False,AM,MP,MP
239,"MT : Don't you think there's a streak that says, it was a pretty balanced account, there's nothing wrong with colonialism.","MP : For decades, our children have been taught nothing other than the Empire was uniquely dreadful","there's a streak that says, it was a pretty balanced account, there's nothing wrong with colonialism","For decades, our children have been taught nothing other than the Empire was uniquely dreadful",Default Conflict,nodeset6101,29919,29935,112835,False,MT,MP,MP
240,MT : Maybe there should be a window of apology and getting back to common sense.,MT : I was told it was generally speaking a good thing,there should be a window of apology and getting back to common sense.,MT was told it was generally speaking a good thing,Default Inference,nodeset6101,29953,29947,112838,False,MT,MT,MT
241,MT : Maybe there should be a window of apology and getting back to common sense.,"MP : Under the national curriculum, we were told the Empire was bad.",there should be a window of apology and getting back to common sense.,"Under the national curriculum, we were told the Empire was bad.",Default Conflict,nodeset6101,29953,8378,112841,False,MT,MP,MP
242,"MP : Under the national curriculum, we were told the Empire was bad.",MT :  Neil Ferguson is saying it is great today,"Under the national curriculum, we were told the Empire was bad.",NF : it is great today,Default Conflict,nodeset6101,8378,29969,112843,False,MP,MT,MP
243,MT : so the moment has passed,MT :  Neil Ferguson is saying it is great today,the moment has passed,NF : it is great today,Default Inference,nodeset6101,29975,29969,112846,False,MT,MT,MT
244,"MB : there is a rather interesting tension between this idea of trying to make moral judgments about the past through the prism of the present, if you like,","MB : when you're talk - the last witness talked about, well, the 17th century was a completely different universe",there is a rather interesting tension between this idea of trying to make moral judgments about the past through the prism of the present,last witness : the 17th century was a completely different universe,Default Inference,nodeset6102,29760,29765,112861,True,MB,MB,MB
245,"MB : there is a rather interesting tension between this idea of trying to make moral judgments about the past through the prism of the present, if you like,","MB : Clifford also had a powerful point in cross-examination when he was saying, actually, in this particular case, what are crimes now were very much crimes then",there is a rather interesting tension between this idea of trying to make moral judgments about the past through the prism of the present,"CL : in this particular case, what are crimes now were very much crimes then",Default Inference,nodeset6102,29760,112869,112861,True,MB,MB,MB
246,"CL : in this particular case, what are crimes now were very much crimes then",MB : It wasn't that distant in moral terms from where we are now,"in this particular case, what are crimes now were very much crimes then",It wasn't that distant in moral terms from where we are now,Default Inference,nodeset6102,29777,8299,112877,False,CL,MB,MB
247,AM : That is interesting,AM : that is a good case and something I do take very seriously,That is interesting,that is a good case and something AM does take very seriously,Default Inference,nodeset6102,29787,112881,112886,False,AM,AM,AM
248,AM : that is a good case and something I do take very seriously,AM : and we do look back to the fact that people were making stirring speeches about it at the time,that is a good case and something AM does take very seriously,we do look back to the fact that people were making stirring speeches about it at the time,Default Inference,nodeset6102,112881,29799,112889,False,AM,AM,AM
249,AM : that plays against Matthew's point,"AM : that colonialism, as we keep calling it, is in some way all about the extraction of wealth and exploitation",that plays against Matthew's point,MT : colonialism is in some way all about the extraction of wealth and exploitation,Default Inference,nodeset6102,112891,112898,112904,False,AM,AM,AM
250,AM : that plays against Matthew's point,MT : That's what drove it,that plays against Matthew's point,That's what drove it,Default Conflict,nodeset6102,112891,29809,112908,False,AM,MT,MT
251,MT : That's what drove it,AM : But that's your opinion,That's what drove it,that's MT's opinion,Default Conflict,nodeset6102,29809,112858,112911,True,MT,AM,MT
252,MT : That's what drove it,"AM : and that is a very, very partial view of history.",That's what drove it,"that is a very, very partial view of history.",Default Conflict,nodeset6102,29809,29821,112911,True,MT,AM,AM
253,"MB : So it would be okay under these circumstances for, say, a holocaust victim to take a civil damages case against Angela Merkel, would it?",MT : This is a very interesting point.,"it would not be okay under these circumstances for, say, a holocaust victim to take a civil damages case against Angela Merkel",This is a very interesting point.,CA,nodeset6103,29650,29653,112919,False,MB,MT,MT
254,MT : This is a very interesting point.,MT : You do get reparations in Germany,This is a very interesting point.,You do get reparations in Germany,RA,nodeset6103,29653,29660,112923,True,MT,MT,MT
